latitude,longitude,elevation
33.33459,77.583461,5628.0
33.33459,77.58418,5628.0
33.33459,77.584898,5628.0
33.33459,77.585617,5551.0
33.33459,77.586336,5551.0
33.33459,77.587054,5551.0
33.33459,77.587773,5319.0
33.33459,77.588491,5319.0
33.33459,77.58921,5319.0
33.33459,77.589929,5159.0
33.33459,77.590647,5159.0
33.33459,77.591366,5159.0
33.33459,77.592085,5006.0
33.33459,77.592803,5006.0
33.33459,77.593522,5006.0
33.33459,77.594241,4974.0
33.33459,77.594959,4974.0
33.33459,77.595678,4974.0
33.33459,77.596397,5005.0
33.33459,77.597115,5005.0
33.33459,77.597834,5005.0
33.33459,77.598553,5040.0
33.33459,77.599271,5040.0
33.33459,77.59999,5040.0
33.33459,77.600709,5236.0
33.33459,77.601427,5236.0
33.33459,77.602146,5219.0
33.33459,77.602864,5219.0
33.33459,77.603583,5219.0
33.33459,77.604302,5090.0
33.33459,77.60502,5090.0
33.33459,77.605739,5090.0
33.33459,77.606458,5005.0
33.33459,77.607176,5005.0
33.33459,77.607895,5005.0
33.33459,77.608614,4937.0
33.33459,77.609332,4937.0
33.33459,77.610051,4937.0
33.33459,77.61077,4855.0
33.33459,77.611488,4855.0
33.33459,77.612207,4855.0
33.33459,77.612926,4763.0
33.33459,77.613644,4763.0
33.33459,77.614363,4763.0
